"Date","Time","Open","High","Low","Close","Up","Down","Volume"
04/10/2026,09:50,6832.58,6836.95,6830.35,6830.37,14755,14491,29246.00
04/10/2026,09:55,6830.54,6836.53,6830.54,6831.90,13801,13925,27726.00
04/10/2026,10:00,6831.88,6838.75,6830.54,6837.40,14448,11454,25902.00
04/10/2026,10:05,6837.40,6837.87,6834.48,6834.72,15288,16062,31350.00
04/10/2026,10:10,6834.80,6839.29,6832.53,6838.14,15196,13366,28562.00
04/10/2026,10:15,6838.05,6841.09,6836.30,6840.06,14921,11629,26550.00
04/10/2026,10:20,6840.03,6842.25,6838.89,6839.28,14341,12807,27148.00
04/10/2026,10:25,6839.52,6844.32,6838.99,6843.57,14332,13759,28091.00
04/10/2026,10:30,6843.52,6843.52,6835.33,6835.83,11640,15145,26785.00
04/10/2026,10:35,6835.73,6837.56,6830.51,6832.19,12509,14753,27262.00
04/10/2026,10:40,6832.03,6832.68,6827.77,6827.99,14172,12235,26407.00
04/10/2026,10:45,6827.84,6829.02,6824.71,6828.35,14805,11328,26133.00
04/10/2026,10:50,6828.28,6830.10,6825.31,6825.97,10191,11366,21557.00
04/10/2026,10:55,6825.98,6826.57,6820.68,6820.71,9698,11357,21055.00
04/10/2026,11:00,6820.76,6820.87,6814.70,6817.02,11266,12844,24110.00
04/10/2026,11:05,6817.28,6818.37,6814.91,6816.27,10740,10173,20913.00
04/10/2026,11:10,6816.29,6818.69,6814.46,6816.88,8972,9798,18770.00
04/10/2026,11:15,6816.87,6824.10,6816.76,6822.59,10943,9293,20236.00
04/10/2026,11:20,6822.65,6824.55,6821.04,6821.80,9216,9471,18687.00
04/10/2026,11:25,6821.77,6822.32,6818.21,6822.32,9833,9688,19521.00
04/10/2026,11:30,6822.27,6822.27,6818.64,6818.97,9427,8844,18271.00
04/10/2026,11:35,6819.01,6820.36,6815.70,6817.21,8353,8245,16598.00
04/10/2026,11:40,6817.17,6817.37,6813.86,6814.35,5913,8966,14879.00
04/10/2026,11:45,6814.36,6815.04,6809.04,6810.03,8220,9717,17937.00
04/10/2026,11:50,6809.95,6815.43,6809.84,6815.43,9877,8089,17966.00
04/10/2026,11:55,6815.43,6819.75,6813.82,6818.88,13058,8810,21868.00
04/10/2026,12:00,6818.83,6819.04,6817.14,6818.31,8287,7422,15709.00
04/10/2026,12:05,6818.31,6818.33,6811.69,6811.77,7100,10235,17335.00
04/10/2026,12:10,6811.74,6813.61,6810.17,6812.90,8174,7912,16086.00
04/10/2026,12:15,6812.74,6815.14,6810.55,6814.55,8197,7235,15432.00
04/10/2026,12:20,6814.55,6815.40,6812.12,6813.89,9138,7913,17051.00
