"Date","Time","Open","High","Low","Close","Up","Down"
05/27/2026,12:50,7510.55,7511.80,7509.02,7511.27,8602,8076
05/27/2026,12:55,7511.35,7515.31,7511.35,7515.22,10031,9830
05/27/2026,13:00,7515.50,7517.45,7513.82,7514.00,7999,9571
05/27/2026,13:05,7514.03,7515.01,7510.88,7512.56,10649,10584
05/27/2026,13:10,7512.55,7515.93,7510.57,7515.51,13358,10526
05/27/2026,13:15,7515.58,7517.38,7514.59,7517.38,11950,8755
05/27/2026,13:20,7517.35,7520.97,7516.44,7520.59,10076,8396
05/27/2026,13:25,7520.57,7523.28,7520.01,7523.00,10443,11852
05/27/2026,13:30,7523.04,7525.03,7522.69,7524.10,10444,8962
05/27/2026,13:35,7524.24,7525.92,7523.22,7524.51,10499,10088
05/27/2026,13:40,7524.54,7524.89,7521.28,7524.39,12069,11546
05/27/2026,13:45,7524.31,7526.00,7523.56,7525.17,9725,10707
05/27/2026,13:50,7525.11,7527.03,7524.92,7525.05,10257,11139
05/27/2026,13:55,7524.99,7527.58,7524.18,7525.64,9948,10342
05/27/2026,14:00,7525.69,7527.04,7524.91,7525.57,9885,10893
05/27/2026,14:05,7525.52,7526.91,7523.64,7526.51,11777,11813
05/27/2026,14:10,7526.36,7528.16,7525.12,7526.85,12969,10472
05/27/2026,14:15,7526.76,7527.63,7525.48,7526.34,11069,12024
05/27/2026,14:20,7526.12,7526.87,7524.97,7525.24,12595,15198
05/27/2026,14:25,7525.51,7526.64,7523.92,7524.39,12207,13943
05/27/2026,14:30,7524.40,7524.59,7520.47,7522.71,15885,16904
05/27/2026,14:35,7522.56,7524.55,7520.87,7522.59,14331,18092
05/27/2026,14:40,7522.62,7525.61,7522.55,7524.63,18915,17716
05/27/2026,14:45,7524.67,7525.55,7522.33,7525.55,21102,18100
05/27/2026,14:50,7525.69,7525.69,7519.95,7519.95,18509,30126
05/27/2026,14:55,7519.99,7523.74,7518.04,7520.23,41324,31854
05/27/2026,15:00,7520.01,7522.98,7519.03,7520.46,109615,760564
