Date,Time,Symbol,Source (Live/Historical),Market (Pre-Market/In-Market),is_premarket (DB),source (DB)
2026-05-20,13:00,SPX,Historical,In-Market,0,histgex
2026-05-20,13:30,SPX,Historical,In-Market,0,histgex
2026-05-20,14:00,SPX,Historical,In-Market,0,histgex
2026-05-20,14:30,SPX,Historical,In-Market,0,histgex
2026-05-20,15:00,SPX,Historical,In-Market,0,histgex
2026-05-20,15:30,SPX,Historical,In-Market,0,histgex
2026-05-19,09:30,SPX,Historical,In-Market,0,histgex
2026-05-19,10:00,SPX,Historical,In-Market,0,histgex
2026-05-19,10:30,SPX,Historical,In-Market,0,histgex
2026-05-19,11:00,SPX,Historical,In-Market,0,histgex
2026-05-19,11:30,SPX,Historical,In-Market,0,histgex
2026-05-19,12:00,SPX,Historical,In-Market,0,histgex
2026-05-19,12:30,SPX,Historical,In-Market,0,histgex
2026-05-19,13:00,SPX,Historical,In-Market,0,histgex
2026-05-19,13:30,SPX,Historical,In-Market,0,histgex
2026-05-19,14:00,SPX,Historical,In-Market,0,histgex
2026-05-19,14:30,SPX,Historical,In-Market,0,histgex
2026-05-19,15:00,SPX,Historical,In-Market,0,histgex
2026-05-19,15:30,SPX,Historical,In-Market,0,histgex
2026-05-18,09:30,SPX,Historical,In-Market,0,histgex
2026-05-18,10:00,SPX,Historical,In-Market,0,histgex
2026-05-18,10:30,SPX,Historical,In-Market,0,histgex
2026-05-18,11:00,SPX,Historical,In-Market,0,histgex
2026-05-18,11:30,SPX,Historical,In-Market,0,histgex
2026-05-18,12:00,SPX,Historical,In-Market,0,histgex
2026-05-18,12:30,SPX,Historical,In-Market,0,histgex
2026-05-18,13:00,SPX,Historical,In-Market,0,histgex
2026-05-18,13:30,SPX,Historical,In-Market,0,histgex
2026-05-18,14:00,SPX,Historical,In-Market,0,histgex
2026-05-18,14:30,SPX,Historical,In-Market,0,histgex
2026-05-18,15:00,SPX,Historical,In-Market,0,histgex
2026-05-18,15:30,SPX,Historical,In-Market,0,histgex
2026-05-15,09:30,SPX,Historical,In-Market,0,histgex
2026-05-15,10:00,SPX,Historical,In-Market,0,histgex
2026-05-15,10:30,SPX,Historical,In-Market,0,histgex
2026-05-15,11:00,SPX,Historical,In-Market,0,histgex
2026-05-15,11:30,SPX,Historical,In-Market,0,histgex
2026-05-15,12:00,SPX,Historical,In-Market,0,histgex
2026-05-15,12:30,SPX,Historical,In-Market,0,histgex
2026-05-15,13:00,SPX,Historical,In-Market,0,histgex
2026-05-15,13:30,SPX,Historical,In-Market,0,histgex
2026-05-15,14:00,SPX,Historical,In-Market,0,histgex
2026-05-15,14:30,SPX,Historical,In-Market,0,histgex
2026-05-15,15:00,SPX,Historical,In-Market,0,histgex
2026-05-15,15:30,SPX,Historical,In-Market,0,histgex
2026-05-14,09:30,SPX,Historical,In-Market,0,histgex
2026-05-14,10:00,SPX,Historical,In-Market,0,histgex
2026-05-14,10:30,SPX,Historical,In-Market,0,histgex
2026-05-14,11:00,SPX,Historical,In-Market,0,histgex
2026-05-14,11:30,SPX,Historical,In-Market,0,histgex
2026-05-14,12:00,SPX,Historical,In-Market,0,histgex
2026-05-14,12:30,SPX,Historical,In-Market,0,histgex
2026-05-14,13:00,SPX,Historical,In-Market,0,histgex
2026-05-14,13:30,SPX,Historical,In-Market,0,histgex
2026-05-14,14:00,SPX,Historical,In-Market,0,histgex
2026-05-14,14:30,SPX,Historical,In-Market,0,histgex
2026-05-14,15:00,SPX,Historical,In-Market,0,histgex
2026-05-14,15:30,SPX,Historical,In-Market,0,histgex
2026-05-13,09:30,SPX,Historical,In-Market,0,histgex
2026-05-13,10:00,SPX,Historical,In-Market,0,histgex
2026-05-13,10:30,SPX,Historical,In-Market,0,histgex
2026-05-13,11:00,SPX,Historical,In-Market,0,histgex
2026-05-13,11:30,SPX,Historical,In-Market,0,histgex
2026-05-13,12:00,SPX,Historical,In-Market,0,histgex
2026-05-13,12:30,SPX,Historical,In-Market,0,histgex
2026-05-13,13:00,SPX,Historical,In-Market,0,histgex
2026-05-13,13:30,SPX,Historical,In-Market,0,histgex
2026-05-13,14:00,SPX,Historical,In-Market,0,histgex
2026-05-13,14:30,SPX,Historical,In-Market,0,histgex
2026-05-13,15:00,SPX,Historical,In-Market,0,histgex
2026-05-13,15:30,SPX,Historical,In-Market,0,histgex
2026-05-12,09:30,SPX,Historical,In-Market,0,histgex
2026-05-12,10:00,SPX,Historical,In-Market,0,histgex
2026-05-12,10:30,SPX,Historical,In-Market,0,histgex
2026-05-12,11:00,SPX,Historical,In-Market,0,histgex
2026-05-12,11:30,SPX,Historical,In-Market,0,histgex
2026-05-12,12:00,SPX,Historical,In-Market,0,histgex
2026-05-12,12:30,SPX,Historical,In-Market,0,histgex
2026-05-12,13:00,SPX,Historical,In-Market,0,histgex
2026-05-12,13:30,SPX,Historical,In-Market,0,histgex
2026-05-12,14:00,SPX,Historical,In-Market,0,histgex
2026-05-12,14:30,SPX,Historical,In-Market,0,histgex
2026-05-12,15:00,SPX,Historical,In-Market,0,histgex
2026-05-12,15:30,SPX,Historical,In-Market,0,histgex
2026-05-11,09:30,SPX,Historical,In-Market,0,histgex
2026-05-11,10:00,SPX,Historical,In-Market,0,histgex
2026-05-11,10:30,SPX,Historical,In-Market,0,histgex
2026-05-11,11:00,SPX,Historical,In-Market,0,histgex
2026-05-11,11:30,SPX,Historical,In-Market,0,histgex
2026-05-11,12:00,SPX,Historical,In-Market,0,histgex
2026-05-11,12:30,SPX,Historical,In-Market,0,histgex
2026-05-11,13:00,SPX,Historical,In-Market,0,histgex
2026-05-11,13:30,SPX,Historical,In-Market,0,histgex
2026-05-11,14:00,SPX,Historical,In-Market,0,histgex
2026-05-11,14:30,SPX,Historical,In-Market,0,histgex
2026-05-11,15:00,SPX,Historical,In-Market,0,histgex
2026-05-11,15:30,SPX,Historical,In-Market,0,histgex
2026-05-08,09:30,SPX,Historical,In-Market,0,histgex
2026-05-08,10:00,SPX,Historical,In-Market,0,histgex
2026-05-08,10:30,SPX,Historical,In-Market,0,histgex
2026-05-08,11:00,SPX,Historical,In-Market,0,histgex
2026-05-08,11:30,SPX,Historical,In-Market,0,histgex
2026-05-08,12:00,SPX,Historical,In-Market,0,histgex
2026-05-08,12:30,SPX,Historical,In-Market,0,histgex
2026-05-08,13:00,SPX,Historical,In-Market,0,histgex
2026-05-08,13:30,SPX,Historical,In-Market,0,histgex
2026-05-08,14:00,SPX,Historical,In-Market,0,histgex
2026-05-08,14:30,SPX,Historical,In-Market,0,histgex
2026-05-08,15:00,SPX,Historical,In-Market,0,histgex
2026-05-08,15:30,SPX,Historical,In-Market,0,histgex
2026-05-07,09:30,SPX,Historical,In-Market,0,histgex
2026-05-07,10:00,SPX,Historical,In-Market,0,histgex
2026-05-07,10:30,SPX,Historical,In-Market,0,histgex
2026-05-07,11:00,SPX,Historical,In-Market,0,histgex
2026-05-07,11:30,SPX,Historical,In-Market,0,histgex
2026-05-07,12:00,SPX,Historical,In-Market,0,histgex
